ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680624,259424.70273193764
1641,283680.0,289177.79297644366,-5497.792976443656
3620,135818.0,166619.49465333702,-30801.494653337024
2820,468742.0,398384.28451047547,70357.71548952453
1572,311065.0,389518.4899596194,-78453.48995961942
202,228740.0,198964.5933984527,29775.406601547293
8169,260611.0,294784.6602290217,-34173.66022902168
6212,199843.0,210704.12894275764,-10861.128942757641
6754,273619.0,260715.37364563256,12903.626354367443
5197,334528.0,313213.8146918347,21314.185308165324
5170,371797.0,411610.510490348,-39813.51049034798
3987,129547.0,124654.7673531561,4892.232646843899
8088,241878.0,193002.0131398494,48875.98686015059
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.98668513412,-14801.986685134121
7979,340244.0,310809.2917819942,29434.708218005777
2546,673459.0,670056.0497525125,3402.950247487519
5831,219892.0,261525.21342596374,-41633.21342596374
2288,136479.0,178225.26147093184,-41746.261470931844
7372,284417.0,262588.5445717622,21828.455428237794
8553,401696.0,313633.7453586322,88062.25464136782
605,400036.0,503496.15571380855,-103460.15571380855
7343,502384.0,454250.3455286311,48133.65447136888
6956,432570.0,460794.6943775057,-28224.694377505686
6787,271336.0,208790.67410792483,62545.32589207517
8790,259581.0,283810.4471893385,-24229.447189338505
8875,368614.0,387418.8503713643,-18804.85037136427
5222,449834.0,440874.4668988776,8959.533101122419
6583,268084.0,249646.31523039402,18437.684769605985
4457,326357.0,410688.68794281315,-84331.68794281315
3798,513051.0,499357.1199055849,13693.8800944151
8692,484256.0,663018.1510235487,-178762.15102354868
9185,391848.0,497638.4591102516,-105790.45911025163
9170,289229.0,303536.62959075504,-14307.629590755037
6922,396836.0,580543.2495697738,-183707.2495697738
1816,299874.0,315679.89577785763,-15805.89577785763
889,453808.0,389502.65466081526,64305.34533918474
2315,197244.0,197667.92962042947,-423.929620429466
3837,348815.0,331519.1229527244,17295.8770472756
8611,573658.0,590494.8504976969,-16836.850497696898
5917,269948.0,237208.23188195462,32739.76811804538
6719,133645.0,110666.40868751107,22978.591312488934
5994,367737.0,461439.9502959945,-93702.95029599452
9266,252230.0,233527.08907518664,18702.91092481336
4038,104509.0,110147.09100402704,-5638.091004027039
2556,559989.0,429561.0490637214,130427.95093627862
3330,300314.0,334262.37493581837,-33948.37493581837
9027,112586.0,108427.708390415,4158.291609584994
486,225432.0,228535.07529446136,-3103.0752944613632
5064,421310.0,458902.6248746572,-37592.624874657195
3314,357001.0,317730.6816098021,39270.31839019788
3744,204498.0,224537.28449130626,-20039.284491306258
5128,346301.0,348038.0741178505,-1737.0741178505123
8075,467567.0,500779.0174993178,-33212.01749931782
